VideoName,E_Y,h,L_Y,L_U,E_U,L_V,E_V,targetBitrate,timeLimitEnc,timeLimitDec,resolution,qp
474,40.27083333,37.17271925,70.57916667,125.0,133.05,11.27083333,25.30416667,145,9999.0,9999.0,360,45
484,49.84166667,11.36054925,93.37916667,121.0,132.0,14.00416667,14.15,145,9999.0,9999.0,540,46
484,49.84166667,11.36054925,93.37916667,121.0,132.0,14.00416667,14.15,300,9999.0,9999.0,720,46
485,14.4,15.14499351,109.5666667,111.7916667,127.2416667,10.2625,13.075,145,9999.0,9999.0,360,42
485,14.4,15.14499351,109.5666667,111.7916667,127.2416667,10.2625,13.075,300,9999.0,9999.0,720,44
489,12.24583333,3.557659054,130.4875,132.3166667,120.7833333,5.091666667,3.775,145,9999.0,9999.0,360,40
496,29.0,1.23351113,105.9958333,122.0,130.0,6.0125,5.795833333,145,9999.0,9999.0,360,40
502,17.16666667,3.31617183,52.0,127.0,128.0,7.8125,12.93333333,145,9999.0,9999.0,540,47
509,7.504166667,2.4870741,61.05833333,129.2875,132.6958333,10.4125,11.05833333,145,9999.0,9999.0,1080,49
512,11.99583333,3.574139364,81.925,117.0,123.1291667,9.895833333,6.9875,145,9999.0,9999.0,360,39
512,11.99583333,3.574139364,81.925,117.0,123.1291667,9.895833333,6.9875,300,9999.0,9999.0,720,39
518,8.891666667,3.858361856,72.55416667,118.9708333,143.4625,2.8375,6.641666667,145,9999.0,9999.0,720,45
519,9.658333333,8.131347824,62.57083333,127.6541667,132.2541667,8.970833333,18.86666667,145,9999.0,9999.0,720,47
521,62.95416667,8.542380795,73.18333333,125.8083333,129.1916667,13.55416667,12.22083333,145,9999.0,9999.0,1080,50
522,14.2625,10.65877557,57.9125,126.4375,127.975,3.575,5.7125,145,9999.0,9999.0,540,46
524,55.73333333,15.17686895,84.32083333,120.2458333,123.4833333,27.425,17.59166667,145,9999.0,9999.0,1440,50
524,55.73333333,15.17686895,84.32083333,120.2458333,123.4833333,27.425,17.59166667,300,9999.0,9999.0,1440,50
528,8.395833333,2.39673762,58.20416667,122.5333333,132.775,7.266666667,8.0375,145,9999.0,9999.0,1080,48
530,19.56666667,8.401059665,110.6125,138.8541667,118.4041667,6.795833333,8.525,145,9999.0,9999.0,540,45
539,13.20833333,4.429033508,78.38333333,124.1166667,134.75,5.25,8.3,145,9999.0,9999.0,1080,48
540,17.63333333,13.77783501,86.65,128.175,120.9416667,7.55,15.03333333,145,9999.0,9999.0,540,45
545,50.35416667,39.29360678,73.22916667,128.3125,126.6916667,5.841666667,2.979166667,145,9999.0,9999.0,360,40
545,50.35416667,39.29360678,73.22916667,128.3125,126.6916667,5.841666667,2.979166667,300,9999.0,9999.0,720,41
548,48.775,10.40571866,94.40833333,128.1083333,126.7833333,3.5625,3.658333333,145,9999.0,9999.0,720,44
